ID,CPURL,RCPURL,SLURL
821,http://careerplus.shine.com/skill-courses/vskills-certified-linux-administrator/pd821.html,/skill-courses/vskills-certified-linux-administrator/pd821.html,https://learning.shine.com/course/it-information-technology/linux-administration/pd-311
1589,http://careerplus.shine.com/skill-courses/vskills-certified-cyber-law-analyst/pd1589.html,/skill-courses/vskills-certified-cyber-law-analyst/pd1589.html,https://learning.shine.com/course/law/vskills-certified-cyber-law-analyst/pd-2142
4149,http://careerplus.shine.com/skill-courses/certified-treasury-markets-professional/pd4149.html,/skill-courses/certified-treasury-markets-professional/pd4149.html,
4405,http://careerplus.shine.com/skill-courses/pmp-certification-classroom-training-early-bird-di/pd4405.html,/skill-courses/pmp-certification-classroom-training-early-bird-di/pd4405.html,
4917,http://careerplus.shine.com/skill-courses/certified-internet-security-auditor/pd4917.html,/skill-courses/certified-internet-security-auditor/pd4917.html,https://learning.shine.com/course/None/certified-information-security-auditor-wo-vskills/pd-1735
823,http://careerplus.shine.com/skill-courses/vskills-certified-cad-professional/pd823.html,/skill-courses/vskills-certified-cad-professional/pd823.html,https://learning.shine.com/course/it-information-technology/cad-professional/pd-312
1591,http://careerplus.shine.com/skill-courses/vskills-certified-cyber-security-analyst/pd1591.html,/skill-courses/vskills-certified-cyber-security-analyst/pd1591.html,
3895,http://careerplus.shine.com/tssc/assessment-fee-esdm-level-3/pd3895.html,/tssc/assessment-fee-esdm-level-3/pd3895.html,
4663,http://careerplus.shine.com/skill-courses/supply-chain-management-2/pd4663.html,/skill-courses/supply-chain-management-2/pd4663.html,https://learning.shine.com/course/operation-management/supply-chain-management-2/pd-1631
4919,http://careerplus.shine.com/skill-courses/togaf-91/pd4919.html,/skill-courses/togaf-91/pd4919.html,https://learning.shine.com/course/management/togaf-professional/pd-1736
825,http://careerplus.shine.com/skill-courses/vskills-certified-cloud-computing-professional/pd825.html,/skill-courses/vskills-certified-cloud-computing-professional/pd825.html,https://learning.shine.com/course/it-information-technology/cloud-computing-professional/pd-313
1593,http://careerplus.shine.com/skill-courses/vskills-certified-data-entry-operator/pd1593.html,/skill-courses/vskills-certified-data-entry-operator/pd1593.html,https://learning.shine.com/course/it-information-technology/data-entry-operator/pd-661
3897,http://careerplus.shine.com/tssc/assessment-fee-esdm-level-5/pd3897.html,/tssc/assessment-fee-esdm-level-5/pd3897.html,
4409,http://careerplus.shine.com/skill-courses/pmp-agile-ethics-practitioner/pd4409.html,/skill-courses/pmp-agile-ethics-practitioner/pd4409.html,https://learning.shine.com/course/operation-management/pmi-agile-and-scrum-master/pd-1541
4665,http://careerplus.shine.com/skill-courses/manufacturing-technology-management/pd4665.html,/skill-courses/manufacturing-technology-management/pd4665.html,https://learning.shine.com/course/operation-management/manufacturing-technology-management/pd-1632
315,http://careerplus.shine.com/resume-writing/ind/pd315.html,/resume-writing/ind/pd315.html,
827,http://careerplus.shine.com/skill-courses/certified-data-mining-and-warehousing-professional/pd827.html,/skill-courses/certified-data-mining-and-warehousing-professional/pd827.html,https://learning.shine.com/course/it-information-technology/data-mining-and-warehousing/pd-314
1595,http://careerplus.shine.com/skill-courses/vskills-certified-debt-recovery-agent/pd1595.html,/skill-courses/vskills-certified-debt-recovery-agent/pd1595.html,https://learning.shine.com/course/banking-finance/debt-recovery-agent-2/pd-2144
3899,http://careerplus.shine.com/tssc/assessment-fee-esdm-level-4/pd3899.html,/tssc/assessment-fee-esdm-level-4/pd3899.html,
4411,http://careerplus.shine.com/skill-courses/itil-2011-edition-foundation-syllabus/pd4411.html,/skill-courses/itil-2011-edition-foundation-syllabus/pd4411.html,https://learning.shine.com/course/None/itil-2011-edition-foundation-syllabus/pd-1542
4667,http://careerplus.shine.com/skill-courses/total-quality-management/pd4667.html,/skill-courses/total-quality-management/pd4667.html,https://learning.shine.com/course/operation-management/total-quality-management/pd-1633
829,http://careerplus.shine.com/skill-courses/vskills-certified-dhtml-and-javascript-developer/pd829.html,/skill-courses/vskills-certified-dhtml-and-javascript-developer/pd829.html,https://learning.shine.com/course/None/vskills-certified-dhtml-and-javascript-developer/pd-315
1597,http://careerplus.shine.com/skill-courses/vskills-certified-environment-law-analyst/pd1597.html,/skill-courses/vskills-certified-environment-law-analyst/pd1597.html,https://learning.shine.com/course/None/environment-law-analyst/pd-2146
3901,http://careerplus.shine.com/tssc/assessment-fee-pmkvy/pd3901.html,/tssc/assessment-fee-pmkvy/pd3901.html,
4413,http://careerplus.shine.com/skill-courses/it-project-management-essentials/pd4413.html,/skill-courses/it-project-management-essentials/pd4413.html,https://learning.shine.com/course/operation-management/it-project-management/pd-1543
4669,http://careerplus.shine.com/skill-courses/production-and-operations-management-training/pd4669.html,/skill-courses/production-and-operations-management-training/pd4669.html,https://learning.shine.com/course/operation-management/production-and-operations-management/pd-1634
